Field name,Is local?,Source code line,Containing class,A method that uses it,Ordered recommendations
childMap,false,107,com.thoughtworks.xstream.io.xml.xppdom.XppDom,addChild,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
values,true,200,com.thoughtworks.xstream.io.xml.xppdom.XppDom,build,Changes the type from java.util.ArrayList to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)
attributes,false,89,com.thoughtworks.xstream.io.xml.xppdom.XppDom,setAttribute,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<concurrentHashMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
elements,true,195,com.thoughtworks.xstream.io.xml.xppdom.XppDom,build,Changes the type from java.util.ArrayList to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)
names,true,128,com.thoughtworks.xstream.io.xml.xppdom.XppDomComparator,compareInternal,Changes the type from java.util.HashMap to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)
nameToAlias,false,34,com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper,addAliasFor,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
aliasToName,false,33,com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper,addAliasFor,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
annotatedTypes,false,88,com.thoughtworks.xstream.mapper.AnnotationMapper,<init>,Changes the type from java.util.Set to treeSet<linkedHashSet<hashSet<unifiedSet(Eclipse Collections)<treeSortedSet(Eclipse Collections)<synchronizedHashSet<synchronizedLinkedHashSet<setFromConcurrentHashMap<concurrentSkipListSet<synchronizedTreeSet<synchronizedUnifiedSet(Eclipse Collections)<synchronizedTreeSortedSet(Eclipse Collections)
converterMapping,true,449,com.thoughtworks.xstream.mapper.AnnotationMapper,cacheConverter,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
converterCache,false,447,com.thoughtworks.xstream.mapper.AnnotationMapper,cacheConverter,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
